#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   HLPW-6 Surface Pressure & Skin Friction Distribution DATA SUBMITTAL FORM for Test Case 1, March 3rd 2026, RevNew
#   Author: DJH, adapted from HLPW-5 submission files
#
#       NOMENCLATURE:
#                  N:   Number of unknowns (grid points for node-centered code, grid cells for cell-centered code)
#            X, Y, Z:   Coordinates of each computational point on the pressure cut in inches
#                 CP:   Coefficient of pressure - give mean if not converged to steady-state
#                 CF:   Skin-friction coefficient at wall = tau_w/(freestream dynamic pressure) 
#                                               - give mean if not converged to steady-state
#      CFX, CFY, CFZ:   Components of skin-friction coefficient at wall
#                                               - give mean if not converged to steady-state
#
#              ALPHA:   Angle of attack, deg.
#                MAC:   Mean aerodynamic chord = 30 inches
#                MRC:   x = 34.8082 inches, y = 0.0 inches, z = 0 inches
#
#                XXX:   Participant ID (assigned by HLPW committee); e.g., 001, 020, 147
#                TFG:   TFG the submission should fall under (e.g. R, S, A, H)
#            DATASET:   Sequential number, should start at 01 for each participant and TFG
#
#    E.g. TITLE field could be: 001_TC1_S_20 for the 20th submission by participant 1 to the scale resolving TFG
#
#             Nomenclature for pressure bands:
#             W:      Indicates plane on the wing (along chordwise rows WA to WG, spanwise row WSA-WSF)
#             S:      Indicates cut on slat element (along chordwise rows SA to SG)
#             Flap:   Indicates cut on flap element (along chordwise rows FA to FC, spanwise row FSF)
#
#            The cut locations for CRM-HLS are defined on <insert website location here>
#
#    FLOW CONDITIONS:
#            Angles of Attack: 10, 15, 20, 25, 30, 35 deg
#                 Mach Number: 0.20
#             Reynolds Number: 3.55 million (based on MAC)
#             Freestream Temp: 518.67 R
#
#              NOTES: 1. All numerical data fields can be free-formatted
#                     2. Please use at least 5 decimal places in the numerical values for CP, CF, etc.
#                     3. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#                     4. If not converged to steady-state (i.e., if run with a scale-resolving simulation
#                        or run time-accurately), give mean values of everything
#
#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++ 

TITLE = "001_TC1_S_01"

#                            <----- Optional ----->
VARIABLES = "X" "Y" "Z" "CP" "CF" "CFX" "CFY" "CFZ"

# the following lines need the quotes, modify string to numeric value within quotes
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_10p0  = 79892960
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_15p0  = -999
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_20p0  = -999
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_25p0  = -999
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_30p0  = 175511672
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_35p0  = -999

# The following section is for AoA=10 deg:
# Chordwise rows:
# Row A
ZONE T="001 TC1 Row SA, <greek>a<\greek> = 10<math>0<\math>"
 2.527896182E-01 3.054898839E-01 1.828850000E-03 -5.558337050E-01 3.122371896E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.529884761E-01 3.053428822E-01 1.370075929E-03 -4.421672051E-01 2.255374260E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.531452246E-01 3.052270090E-01 1.008450000E-03 -3.632502130E-01 1.561693199E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.510674101E-01 3.048447123E-01 -2.354462989E-04 -2.398654002E-01 1.505646757E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.470982698E-01 3.041144570E-01 -2.611514215E-03 1.112579128E-02 1.396281257E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.461083518E-01 3.039225963E-01 -3.234745329E-03 1.413513940E-02 1.306651327E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.414137428E-01 3.030126991E-01 -6.190410764E-03 3.233595933E-02 8.697820335E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.412027301E-01 3.029718024E-01 -6.323257795E-03 3.316171408E-02 8.501206421E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.411582350E-01 3.029631788E-01 -6.351270453E-03 3.335137011E-02 8.458161075E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.363656014E-01 3.019847665E-01 -9.524495965E-03 -6.117527465E-02 1.039478431E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.353313044E-01 3.017736185E-01 -1.020930000E-02 -8.113606694E-02 1.073340374E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.315858773E-01 3.009686276E-01 -1.281620800E-02 -1.402992359E-01 1.229758237E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.296224306E-01 3.005465406E-01 -1.418310000E-02 -1.720257503E-01 1.304294267E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.268665895E-01 2.999227941E-01 -1.620019667E-02 -1.928702240E-01 1.295302521E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.240380015E-01 2.992827220E-01 -1.827010000E-02 -2.148795614E-01 1.267499057E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.222084543E-01 2.988468877E-01 -1.967763840E-02 -2.205995571E-01 1.203527615E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.185835868E-01 2.979832016E-01 -2.246692136E-02 -2.305896705E-01 1.080160307E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.176160527E-01 2.977405782E-01 -2.324948254E-02 -2.319457983E-01 1.039317919E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.132634912E-01 2.966490850E-01 -2.677000000E-02 -2.341008218E-01 8.925977796E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
